Site ID,Account Number,Hotel Name,Address,Oracle(rooms),Agoda(rooms),Expedia(rooms),Trip(rooms)
51303,51303-09925-01-DAM,Days Hotel & Suites by Wyndham Fraser Business Park KL,"No. 03A-12, Kompleks Metro Pudu 1 Jalan Metro Pudu 2, Kuala Lumpur, 55200 Malaysia",257,257,257,257
10433,10433-07783-06-DAY,Days Hotel by Wyndham Iloilo,"4th Level The Atrium Gen. Luna Street ILOILO CITY, 5000 PHILIPPINES",69,70,69,38
16300,16300-20915-02-DAY,Days Inn by Wyndham Guam Tamuning,"155 Ypao Road Maine Corps Drive TAMUNING, 96913 Guam",48,46,-,16
48178,48178-04378-01-DAY,Days Hotel by Wyndham Seoul Myeongdong,"24-30 Chungmuro 1ga, Jung-gu Seoul, . KOREA, REPUBLIC OF",64,64,64,87
49823,49823-07127-01-DAY,Days Inn by Wyndham Patong Beach Phuket,"145/2 Thanon Ratuthit Songroipi Rd Patong Phuket, 83150 Thailand",122,122,122,122
49913,49913-06062-01-DAY,Days Hotel & Suites by Wyndham Incheon Airport,"2801-1 Unseo-dong Incheon City, KOREA, REPUBLIC OF",349,349,349,150
50089,50089-07591-04-DAY,Days Hotel & Suites by Wyndham Jakarta Airport,"Soekarno-Hatta International Airport Integrated Area JL Penbangunan 3 Banten, Jakarta 15129 Indonesia",119,119,119,118
53947,53947-13279-01-DAY,Days Inn by Wyndham Aonang Krabi,"109 Moo 3 Soi. 8 Krabi, 81180 Thailand",42,42,-,40
54539,54539-14804-02-DFD,Dolce by Wyndham Hanoi Golden Lake,"B7 Giang Vo Giang Vo Ward Hanoi, 118400 Viet Nam",342,342,342,334
49258,49258-06062-01-HOJ,Howard Johnson by Wyndham Incheon Airport,"2803-1, Unseo-dong, Incheon City, KOREA, REPUBLIC OF",402,402,402,402
53576,53576-12231-03-HOJ,Howard Johnson by Wyndham Sihanoukville,"Independence Beach, St. 2 Thnou 01 Village, Sangkat 3 Sihanoukville, Cambodia",1500,322,-,322
